"","Country.Code","Country.Title","PC1","PC2","PC3","PC4","PC5"
"1",12,"Algeria",-157.39162813093,-26.6855507092055,66.8925563027904,-103.375565349264,59.1649353095029
"2",31,"Azerbaijan",-103.970486672705,-162.632868706861,-47.0583842810138,84.784501437365,-54.7982680976071
"3",32,"Argentina",150.218820859694,80.2883619706437,75.5210753763974,26.357807319869,30.4630164063354
"4",36,"Australia",263.102764450029,41.5175273954543,53.9060945479225,-74.1708459375732,-93.381375963754
"5",51,"Armenia",-152.144141574059,-100.216032634842,73.7620335127187,116.480738794314,-12.1450159441969
"6",76,"Brazil",7.99306099684296,139.406460804916,76.6167811907741,90.0456167620909,29.1844100426944
"7",112,"Belarus",82.9837340079333,-86.9317002060761,-80.2172182358954,88.1188364364331,-25.3134354517456
"8",152,"Chile",107.354906253772,70.8094839471911,26.97513670834,57.4939150783629,32.2251452462603
"9",156,"China",86.6216971515362,-190.128077302063,-71.9059158345415,-26.895312207724,45.2290325361164
"10",158,"Taiwan",146.353936553097,-15.1728202321937,-90.5177931992929,29.7165256074457,46.3261990110335
"11",170,"Colombia",-59.1898476322459,168.006896645462,59.4583525301818,81.3942992729136,38.4478071413237
"12",196,"Cyprus",38.0026826488577,9.84724092548461,36.8914111370929,15.5711385266136,-82.0696851758195
"13",218,"Ecuador",-95.1160575259911,98.4408800396489,15.9981578575371,62.2438678101659,24.5361028423013
"14",233,"Estonia",151.570710113696,-105.506602826166,-42.9910464878633,74.64924972728,-4.97190899325858
"15",268,"Georgia",-150.535652794576,-65.5366934524791,71.0036753022943,98.1878587305947,-51.0086214676729
"16",275,"Palestine",-101.338347214047,-99.9942581362553,73.2396592255759,-147.877778842336,97.7055824603841
"17",276,"Germany",244.274615505,-24.8141908476656,45.4267367605238,-53.3554743329912,-74.0401702568927
"18",288,"Ghana",-198.629638205976,140.366532334325,-68.5720670214537,-41.1396889229686,-84.4414369499067
"19",344,"Hong Kong SAR, China",189.210019943844,-74.8095566360753,-106.33055360381,-67.0935573000168,101.198078764097
"20",356,"India",-103.401907534712,33.0992214019263,-78.4209486843096,-53.1297641940973,-37.5519310807865
"21",368,"Iraq",-156.989552518464,-71.5168688482813,34.1529794969477,-78.770625648669,60.965744043481
"22",392,"Japan",205.844462385414,-97.2332731424409,-13.4220950555949,-18.6785453433343,125.433703940753
"23",398,"Kazakhstan",-3.81926643823228,-87.773041799017,-90.9327038341943,124.867289573512,-31.8872808333192
"24",400,"Jordan",-207.236717701231,-72.9178372473953,67.8561140107632,-71.6093333909121,-61.7740228521424
"25",410,"Korea, Dem. People’s Rep.",150.257500132818,-64.313323584138,-106.075666981731,-19.2087293115088,70.0546410714223
"26",417,"Kyrgyz Republic",-101.496597987089,-25.3094576040501,-122.525162149985,52.1092377289695,-6.19525494519757
"27",422,"Lebanon",-27.5279398841353,15.8484153684846,-8.21994632632924,-83.0144939019588,101.843486548604
"28",434,"Libya",-256.28048440459,-20.9121608235502,99.8201934944846,-75.4615240936364,-37.3763420200239
"29",458,"Malaysia",-107.726458011281,1.47572641464959,-153.388839016718,-8.25069228823579,-11.7270491950392
"30",484,"Mexico",-69.7974348747455,167.029301079763,56.7534101006514,95.7932243633202,49.3330605201853
"31",504,"Morocco",-169.26588372894,-67.70286649454,40.958285128608,-35.2320694452102,10.8883390535305
"32",528,"Netherlands",319.884431358954,-15.5018472134817,58.9822626868641,-70.5932414354274,-25.3475341158035
"33",554,"New Zealand",252.080047494761,60.3437305069884,32.9331907646892,-94.2272823159448,-75.5818501077943
"34",566,"Nigeria",-172.535701068719,123.552474521984,-116.799616041665,-75.3073808382622,-4.6703352995606
"35",586,"Pakistan",-213.483094554525,6.50529839489595,-17.6739863051974,-50.5348851680933,9.78837769185267
"36",604,"Peru",-9.08029117313107,122.173170513331,56.0534816025223,95.1119535196441,96.661938352016
"37",608,"Philippines",-121.762656523776,100.749788262604,-109.413572292649,36.2389180445038,12.9756392964089
"38",616,"Poland",108.94903429437,2.56424387137819,43.780527930378,71.4372613489787,8.07326269312448
"39",642,"Romania",-43.2606292595578,7.49843019562867,71.6691927094577,92.7767985777869,-12.8327931078621
"40",643,"Russian Federation",42.6611320869548,-101.786087313272,-23.824141410361,126.136352796465,49.3976626941451
"41",646,"Rwanda",-91.8524692002829,93.4800684837568,-142.636868792523,-59.6115004528938,56.6698357506342
"42",702,"Singapore",147.457456061611,-36.2015339095921,-142.355782474029,-83.093486466841,-18.3899514199364
"43",705,"Slovenia",190.853630824151,-10.49224895601,111.449379119759,35.5386543668969,6.81056386524999
"44",710,"South Africa",-25.1519917706871,123.718467762795,-106.083418764489,-72.4774426079939,55.0574430688425
"45",716,"Zimbabwe",-121.218842702541,137.185802856878,-76.5236785588538,-22.2625698587591,-2.73127134987128
"46",724,"Spain",196.811708335942,-29.868339473068,82.9282867804834,0.311702840820406,41.8703677042317
"47",752,"Sweden",321.279963143335,47.6736315076666,58.0833477513615,-96.9409963838413,-118.952006543577
"48",764,"Thailand",-18.9513839244104,11.1359847208525,-77.7083338415079,-0.696815597330136,-26.7373116914172
"49",780,"Trinidad and Tobago",-12.756889782556,167.143350680037,56.2278750319899,-10.4123743758564,-79.4380799852196
"50",788,"Tunisia",-210.546018610213,-85.2310213165944,154.618822135988,-73.3013840852876,67.3809282455927
"51",792,"Turkey",-90.6959337148949,-65.4631359898365,-22.7781343293467,-11.0000011649227,-70.8304362416092
"52",804,"Ukraine",24.4611491270446,-69.2778031568261,-33.5470742367592,163.790756155423,31.8649909234917
"53",840,"United States",190.184301887691,55.5040272090121,8.33549264584831,-72.7052844932771,-30.3616598150422
"54",858,"Uruguay",103.744915723077,61.0660332190493,107.146805640824,82.2458824563768,14.4802883894271
"55",860,"Uzbekistan",-140.934748331787,-98.5797231114106,-25.467188300569,24.1997397238824,-281.137146110254
"56",887,"Yemen, Rep.",-228.067987889397,-113.92162936142,157.948818576914,-75.1734812448609,41.6615914022678
