"","V1","Description.x","R_squared","V2","Description.y"
"1","V99_Low","I mostly agree that competition is good it stimulates people to work hard and develop new ideas","0.756739240950692","V100_Low","I mostly agree that in the long run, hard work usually brings a better life"
"2","V107_2","I somewhat trust people of another nationality ","0.706493506493507","V106_2","I somewhat trust people of another religion"
"3","V107_3","I do not trust people of another nationality very much. ","0.754140994629831","V106_3","I do not trust people of another religion very much"
"4","V107_4","I do not trust people of another nationality at all. ","0.732467532467532","V106_4","I do not trust people of another religion at all. "
"5","V106_2","I somewhat trust people of another religion","0.706493506493507","V107_2","I somewhat trust people of another nationality "
"6","V106_3","I do not trust people of another religion very much","0.754140994629831","V107_3","I do not trust people of another nationality very much. "
"7","V106_4","I do not trust people of another religion at all. ","0.732467532467532","V107_4","I do not trust people of another nationality at all. "
"8","V111_1_Ref","I have a great deal of confidence in television","0.791815566282312","V110_1_Ref","I have a great deal of confidence in the press"
"9","V111_2","I have quite a lot of confidence in television","0.768831168831169","V110_2","I have quite a lot of confidence in the press"
"10","V111_3","I do not have very much confidence in television","0.751948051948052","V110_3","I do not very much confidence in the press"
"11","V111_4","I have no confidence in television at all","0.800909428405325","V110_4","I have no confidence in the press at all"
"12","V110_1_Ref","I have a great deal of confidence in the press","0.791815566282312","V111_1_Ref","I have a great deal of confidence in television"
"13","V110_2","I have quite a lot of confidence in the press","0.768831168831169","V111_2","I have quite a lot of confidence in television"
"14","V110_3","I do not very much confidence in the press","0.751948051948052","V111_3","I do not have very much confidence in television"
"15","V110_4","I have no confidence in the press at all","0.800909428405325","V111_4","I have no confidence in television at all"
"16","V117_1_Ref","I have a great deal of confidence in parliament","0.711688311688312","V115_1_Ref","I have a great deal of confidence in the government."
"17","V117_3","I  do not have very much confidence in parliament","0.733831692962194","V115_3","I do not have a lot of confidence in the government"
"18","V116_4","I have no confindence at all in political parties","0.741558441558442","V115_4","I have no confidence at all in the government"
"19","V117_4","I have no confidence at all in parliament. ","0.745047132506819","V115_4","I have no confidence at all in the government"
"20","V117_1_Ref","I have a great deal of confidence in parliament","0.785714285714286","V116_1_Ref","I have a great deal of confidence in political parties"
"21","V117_2","I have quite a lot of confidence in parliament","0.723376623376623","V116_2","I have quite a lot of confidence in political parties"
"22","V115_4","I have no confidence at all in the government","0.741558441558442","V116_4","I have no confindence at all in political parties"
"23","V117_4","I have no confidence at all in parliament. ","0.810003290528337","V116_4","I have no confindence at all in political parties"
"24","V115_1_Ref","I have a great deal of confidence in the government.","0.711688311688312","V117_1_Ref","I have a great deal of confidence in parliament"
"25","V116_1_Ref","I have a great deal of confidence in political parties","0.785714285714286","V117_1_Ref","I have a great deal of confidence in parliament"
"26","V116_2","I have quite a lot of confidence in political parties","0.723376623376623","V117_2","I have quite a lot of confidence in parliament"
"27","V115_3","I do not have a lot of confidence in the government","0.733831692962194","V117_3","I  do not have very much confidence in parliament"
"28","V115_4","I have no confidence at all in the government","0.745047132506819","V117_4","I have no confidence at all in parliament. "
"29","V116_4","I have no confindence at all in political parties","0.810003290528337","V117_4","I have no confidence at all in parliament. "
"30","V123_1_Ref","I have a great deal of confidence in women's organizations","0.788823911630929","V122_1_Ref","I have a great deal of confidence in environmental organizations"
"31","V123_2","I have a great of confidence in women's organizations","0.771428571428571","V122_2","I have quite a lot of confidence in environmental organizations"
"32","V123_3","I do not have very much confidence in women's organizations","0.749350649350649","V122_3","I do not have very much confidence in environmental organizations"
"33","V123_4","I do not have any confidence in women's organizations","0.789217319961451","V122_4","I do not have any confidence in environmental organizations"
"34","V124_4","I do not have any confidence in humanitarian organizations","0.75154274830897","V122_4","I do not have any confidence in environmental organizations"
"35","V122_1_Ref","I have a great deal of confidence in environmental organizations","0.788823911630929","V123_1_Ref","I have a great deal of confidence in women's organizations"
"36","V122_2","I have quite a lot of confidence in environmental organizations","0.771428571428571","V123_2","I have a great of confidence in women's organizations"
"37","V122_3","I do not have very much confidence in environmental organizations","0.749350649350649","V123_3","I do not have very much confidence in women's organizations"
"38","V122_4","I do not have any confidence in environmental organizations","0.789217319961451","V123_4","I do not have any confidence in women's organizations"
"39","V124_4","I do not have any confidence in humanitarian organizations","0.738141650422352","V123_4","I do not have any confidence in women's organizations"
"40","V122_4","I do not have any confidence in environmental organizations","0.75154274830897","V124_4","I do not have any confidence in humanitarian organizations"
"41","V123_4","I do not have any confidence in women's organizations","0.738141650422352","V124_4","I do not have any confidence in humanitarian organizations"
"42","V153_1_Ref","I strongly agree that whenever science and religion conflict, religion is always right. ","0.700032536156141","V146_1_Ref","I pray several times a day apart from weddings and funerals"
"43","V9_4","Religion is not important at all in my life","-0.701754385964912","V146_1_Ref","I pray several times a day apart from weddings and funerals"
"44","V9_1_Ref","Religion is very important in my life","0.722962038779502","V146_1_Ref","I pray several times a day apart from weddings and funerals"
"45","V9_3","Religion is not very important in my life","-0.718648473034438","V146_1_Ref","I pray several times a day apart from weddings and funerals"
"46","V19_1_Ref","Religious faith is am important quality that children can be encouraged to learn at home.","0.708671684014768","V146_1_Ref","I pray several times a day apart from weddings and funerals"
"47","V151_3","The meaning of religion in not to make sense of the life after death or to make sense of life in this world. ","1","V150_3","The meaning of religion is not to follow religious norms and ceremonies or to do good to other people"
"48","V151_4","The meaning of religion is both to make sense of the life after death or to make sense of life in this world. ","1","V150_4","The meaning of religion is to both folllow religious norms and cermemonies and to do good to other people. "
"49","V150_3","The meaning of religion is not to follow religious norms and ceremonies or to do good to other people","1","V151_3","The meaning of religion in not to make sense of the life after death or to make sense of life in this world. "
"50","V150_4","The meaning of religion is to both folllow religious norms and cermemonies and to do good to other people. ","1","V151_4","The meaning of religion is both to make sense of the life after death or to make sense of life in this world. "
"51","V146_1_Ref","I pray several times a day apart from weddings and funerals","0.700032536156141","V153_1_Ref","I strongly agree that whenever science and religion conflict, religion is always right. "
"52","V9_1_Ref","Religion is very important in my life","0.753736351448104","V153_1_Ref","I strongly agree that whenever science and religion conflict, religion is always right. "
"53","V9_3","Religion is not very important in my life","-0.735131660531658","V153_1_Ref","I strongly agree that whenever science and religion conflict, religion is always right. "
"54","V19_1_Ref","Religious faith is am important quality that children can be encouraged to learn at home.","0.709551806708043","V153_1_Ref","I strongly agree that whenever science and religion conflict, religion is always right. "
"55","V9_1_Ref","Religion is very important in my life","-0.707792207792208","V153_4","I strong disagree that whenever science and religion conflict, relgion is always right"
"56","V9_4","Religion is not important at all in my life","0.703475191373047","V153_4","I strong disagree that whenever science and religion conflict, relgion is always right"
"57","V180_1_Ref","My family has been vicitms of a crime during the last year. ","0.755844155844156","V179_1_Ref","I have been the vicitim of a crime during the past year"
"58","V179_1_Ref","I have been the vicitim of a crime during the past year","0.755844155844156","V180_1_Ref","My family has been vicitms of a crime during the last year. "
"59","V182_1_Ref","I am very much worried about not being able to give my children a good education. ","0.798701298701299","V181_1_Ref","I am very much worried about losing my job or not finding a job. "
"60","V182_4","I am not worried at all about not being able to give my children a good education","0.803507674726185","V181_4","I am not worried at all about losing my job or not finding a job"
"61","V181_1_Ref","I am very much worried about losing my job or not finding a job. ","0.798701298701299","V182_1_Ref","I am very much worried about not being able to give my children a good education. "
"62","V181_4","I am not worried at all about losing my job or not finding a job","0.803507674726185","V182_4","I am not worried at all about not being able to give my children a good education"
"63","V184_3","I am not worried much about a terrorist attack ","-0.764935064935065","V183_1_Ref","I am very much worried about a war involving my country"
"64","V185_1_Ref","I am very much worried about a civil war","0.800909428405325","V183_1_Ref","I am very much worried about a war involving my country"
"65","V184_1_Ref","I am very worried about a terrorist attack. ","0.887012987012987","V183_1_Ref","I am very much worried about a war involving my country"
"66","V184_2","I am worried a great deal about a terroriest attack.","0.707372560854338","V183_2","I am a great deal worried about a war involving my country"
"67","V184_1_Ref","I am very worried about a terrorist attack. ","-0.727272727272727","V183_3","I am not worried much about a war involving my country"
"68","V185_3","I am not worried much about a civil war","0.703896103896104","V183_3","I am not worried much about a war involving my country"
"69","V184_3","I am not worried much about a terrorist attack ","0.838961038961039","V183_3","I am not worried much about a war involving my country"
"70","V184_4","I am not worried at all about a terrorist attack","0.831168831168831","V183_4","I am not worried at all about a war involving my country"
"71","V185_4","I am not worried at all about a civil war","0.767532467532468","V183_4","I am not worried at all about a war involving my country"
"72","V183_1_Ref","I am very much worried about a war involving my country","0.887012987012987","V184_1_Ref","I am very worried about a terrorist attack. "
"73","V185_1_Ref","I am very much worried about a civil war","0.777525211517578","V184_1_Ref","I am very worried about a terrorist attack. "
"74","V183_3","I am not worried much about a war involving my country","-0.727272727272727","V184_1_Ref","I am very worried about a terrorist attack. "
"75","V183_2","I am a great deal worried about a war involving my country","0.707372560854338","V184_2","I am worried a great deal about a terroriest attack."
"76","V183_1_Ref","I am very much worried about a war involving my country","-0.764935064935065","V184_3","I am not worried much about a terrorist attack "
"77","V183_3","I am not worried much about a war involving my country","0.838961038961039","V184_3","I am not worried much about a terrorist attack "
"78","V183_4","I am not worried at all about a war involving my country","0.831168831168831","V184_4","I am not worried at all about a terrorist attack"
"79","V185_4","I am not worried at all about a civil war","0.733766233766234","V184_4","I am not worried at all about a terrorist attack"
"80","V184_1_Ref","I am very worried about a terrorist attack. ","0.777525211517578","V185_1_Ref","I am very much worried about a civil war"
"81","V183_1_Ref","I am very much worried about a war involving my country","0.800909428405325","V185_1_Ref","I am very much worried about a civil war"
"82","V183_3","I am not worried much about a war involving my country","0.703896103896104","V185_3","I am not worried much about a civil war"
"83","V183_4","I am not worried at all about a war involving my country","0.767532467532468","V185_4","I am not worried at all about a civil war"
"84","V184_4","I am not worried at all about a terrorist attack","0.733766233766234","V185_4","I am not worried at all about a civil war"
"85","V190_3","I have rarely gone without medicine or medical treatment that I needed in the last 12 month.","0.722962038779502","V188_3","I rarley have gone without enough food to eat in the last 12 month"
"86","V190_4","I have never gone without medicine or medical treatment that I needed in the last 12 month.","0.72987012987013","V188_4","I never have gone without enough food to eat in the last 12 month"
"87","V146_1_Ref","I pray several times a day apart from weddings and funerals","0.708671684014768","V19_1_Ref","Religious faith is am important quality that children can be encouraged to learn at home."
"88","V153_1_Ref","I strongly agree that whenever science and religion conflict, religion is always right. ","0.709551806708043","V19_1_Ref","Religious faith is am important quality that children can be encouraged to learn at home."
"89","V9_3","Religion is not very important in my life","-0.75154274830897","V19_1_Ref","Religious faith is am important quality that children can be encouraged to learn at home."
"90","V9_1_Ref","Religion is very important in my life","0.779220779220779","V19_1_Ref","Religious faith is am important quality that children can be encouraged to learn at home."
"91","V9_4","Religion is not important at all in my life","-0.712569053496059","V19_1_Ref","Religious faith is am important quality that children can be encouraged to learn at home."
"92","V188_3","I rarley have gone without enough food to eat in the last 12 month","0.722962038779502","V190_3","I have rarely gone without medicine or medical treatment that I needed in the last 12 month."
"93","V188_4","I never have gone without enough food to eat in the last 12 month","0.72987012987013","V190_4","I have never gone without medicine or medical treatment that I needed in the last 12 month."
"94","V202_Med","I am indifferent to the justification of someone accepting a bribe in the course of their duties.","0.701754534106856","V200_Med","I am indifferent to the justification of stealling property"
"95","V200_Med","I am indifferent to the justification of stealling property","0.701754534106856","V202_Med","I am indifferent to the justification of someone accepting a bribe in the course of their duties."
"96","V40_1_Ref","I would not like to have homosexuals as neighbors","-0.711269930335629","V203_ Very High","I think that homosexuality is always justifable"
"97","V40_1_Ref","I would not like to have homosexuals as neighbors","0.728571428571429","V203_Very Low_Ref","I think that homosexuality is never justifable."
"98","V205_ Very High","I think that divorse is always justifable","0.707792207792208","V204_ Very High","I think that abortion is always justifable"
"99","V204_ Very High","I think that abortion is always justifable","0.707792207792208","V205_ Very High","I think that divorse is always justifable"
"100","V206_ Very High","I think that sex before marriage is always justifable","0.719747607928353","V205_ Very High","I think that divorse is always justifable"
"101","V205_ Very High","I think that divorse is always justifable","0.719747607928353","V206_ Very High","I think that sex before marriage is always justifable"
"102","V213_2","I agree that I see myself as part of my local community ","0.726859408260793","V212_2","I agree that I see myself as a world citizen"
"103","V214_2","I agree that I see myself as part of my country","0.771029595715426","V213_2","I agree that I see myself as part of my local community "
"104","V212_2","I agree that I see myself as a world citizen","0.726859408260793","V213_2","I agree that I see myself as part of my local community "
"105","V213_2","I agree that I see myself as part of my local community ","0.771029595715426","V214_2","I agree that I see myself as part of my country"
"106","V223_1_Ref","I use the internet daily to obtain information about what is going on in the country and the world. ","0.781392322706571","V222_1_Ref","I use email daily to obtain information about what is going on in the country and the world. "
"107","V223_2","I use the internet weekly to obtain information about what is going on in the country and the world.","0.70595900844663","V222_2","I use email weekly to obtain information about what is going on in the country and the world."
"108","V223_4","I use the internet less than monthly to obtain information about what is going on in the country and the world. ","0.723778655217293","V222_4","I use email less than monthly to obtain information about what is going on in the country and the world. "
"109","V223_5","I never use the internet to obtain information about what is going on in the country and the world.","0.786597267404034","V222_5","I never use email to obtain information about what is going on in the country and the world."
"110","V225_3","I frequently use a personal computer","0.731232066753467","V223_1_Ref","I use the internet daily to obtain information about what is going on in the country and the world. "
"111","V222_1_Ref","I use email daily to obtain information about what is going on in the country and the world. ","0.781392322706571","V223_1_Ref","I use the internet daily to obtain information about what is going on in the country and the world. "
"112","V222_2","I use email weekly to obtain information about what is going on in the country and the world.","0.70595900844663","V223_2","I use the internet weekly to obtain information about what is going on in the country and the world."
"113","V222_4","I use email less than monthly to obtain information about what is going on in the country and the world. ","0.723778655217293","V223_4","I use the internet less than monthly to obtain information about what is going on in the country and the world. "
"114","V222_5","I never use email to obtain information about what is going on in the country and the world.","0.786597267404034","V223_5","I never use the internet to obtain information about what is going on in the country and the world."
"115","V225_1_Ref","I never use a personal computer","0.711732544973374","V223_5","I never use the internet to obtain information about what is going on in the country and the world."
"116","V223_5","I never use the internet to obtain information about what is going on in the country and the world.","0.711732544973374","V225_1_Ref","I never use a personal computer"
"117","V223_1_Ref","I use the internet daily to obtain information about what is going on in the country and the world. ","0.731232066753467","V225_3","I frequently use a personal computer"
"118","V227_1_Ref","I always vote in the national elections","0.794413812603173","V226_1_Ref","I always vote in the local elections"
"119","V227_2","I usually vote in the national elections","0.739850639865097","V226_2","I usually vote in the local elections"
"120","V227_3","I never vote in the national elections","0.774926965196717","V226_3","I never vote in the local elections"
"121","V226_1_Ref","I always vote in the local elections","0.794413812603173","V227_1_Ref","I always vote in the national elections"
"122","V226_2","I usually vote in the local elections","0.739850639865097","V227_2","I usually vote in the national elections"
"123","V226_3","I never vote in the local elections","0.774926965196717","V227_3","I never vote in the national elections"
"124","V244_1_Ref","My father is an immigrant","0.918600899034736","V243_1_Ref","My mother is an immigrant"
"125","V243_1_Ref","My mother is an immigrant","0.918600899034736","V244_1_Ref","My father is an immigrant"
"126","V27_1_Ref","I am an inactive member in an art, music, or educational organization","-0.705194805194805","V26_0","I am not am member in a sport or recreational organization "
"127","V27_2","I am an anctive member in an art, music, or educational organization","-0.704774314533477","V26_0","I am not am member in a sport or recreational organization "
"128","V31_0","I am not a member of a professional association","0.745454545454545","V26_0","I am not am member in a sport or recreational organization "
"129","V27_0","I am not a member in an art, music, or educaitoncal organization","0.821312713991727","V26_0","I am not am member in a sport or recreational organization "
"130","V30_1_Ref","I am an inactive member in a environmental organization","0.758934533182229","V26_1_Ref","I am an inactive member in a sport or recreational organization"
"131","V27_1_Ref","I am an inactive member in an art, music, or educational organization","0.85974025974026","V26_1_Ref","I am an inactive member in a sport or recreational organization"
"132","V34_1_Ref","I am an inactive member of a self-help group, mutual, aid group","0.768031351216948","V26_1_Ref","I am an inactive member in a sport or recreational organization"
"133","V31_1_Ref","I am an inactive member of a professional association ","0.738961038961039","V26_1_Ref","I am an inactive member in a sport or recreational organization"
"134","V32_1_Ref","I am an inactive member of a humanitarian or charitable organization","0.745454545454545","V26_1_Ref","I am an inactive member in a sport or recreational organization"
"135","V27_0","I am not a member in an art, music, or educaitoncal organization","-0.777128169251666","V26_1_Ref","I am an inactive member in a sport or recreational organization"
"136","V31_0","I am not a member of a professional association","-0.738961038961039","V26_1_Ref","I am an inactive member in a sport or recreational organization"
"137","V30_0","I am not a member in an environmental organization","-0.74025974025974","V26_1_Ref","I am an inactive member in a sport or recreational organization"
"138","V34_0","I am not a member of self-help group, mutual, aid group","-0.714285714285714","V26_1_Ref","I am an inactive member in a sport or recreational organization"
"139","V27_2","I am an anctive member in an art, music, or educational organization","0.726445743989603","V26_2","I am an active member in a sport or recreational organization"
"140","V26_1_Ref","I am an inactive member in a sport or recreational organization","-0.777128169251666","V27_0","I am not a member in an art, music, or educaitoncal organization"
"141","V31_0","I am not a member of a professional association","0.782326350985791","V27_0","I am not a member in an art, music, or educaitoncal organization"
"142","V31_1_Ref","I am an inactive member of a professional association ","-0.714749988442168","V27_0","I am not a member in an art, music, or educaitoncal organization"
